s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
104,29,17,0,104,8,38,0,casa_sopocachi
138,12,0,0,138,0,12,0,casa_sopocachi
144,1,5,0,142,0,6,2,casa_sopocachi
135,11,4,0,135,1,14,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,7,5,0,138,4,8,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
129,6,15,0,127,0,21,2,casa_sopocachi
137,11,2,0,137,1,12,0,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
109,15,26,0,107,0,41,2,casa_sopocachi
140,5,5,0,140,2,8,0,casa_sopocachi
141,3,6,0,139,0,9,2,casa_sopocachi
150,0,0,0,149,0,0,1,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
109,12,29,0,109,3,38,0,casa_sopocachi
98,13,39,0,98,3,49,0,casa_sopocachi
137,11,2,0,136,2,11,1,casa_sopocachi
141,3,6,0,140,0,9,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,10,2,0,138,0,12,0,casa_sopocachi
102,6,42,0,102,0,48,0,casa_sopocachi
135,13,2,0,135,0,15,0,casa_sopocachi
125,23,2,0,120,1,24,5,casa_sopocachi
137,4,8,1,137,0,12,1,casa_sopocachi
140,3,7,0,140,0,10,0,casa_sopocachi
112,5,33,0,112,0,38,0,casa_sopocachi
87,27,36,0,87,1,62,0,casa_sopocachi
114,11,25,0,114,0,36,0,casa_sopocachi
113,28,9,0,113,4,33,0,casa_sopocachi
62,40,48,0,61,1,87,1,casa_sopocachi
142,2,6,0,141,0,8,1,casa_sopocachi
136,11,3,0,136,4,10,0,casa_sopocachi
138,4,8,0,137,0,12,1,casa_sopocachi
113,9,28,0,110,0,37,3,casa_sopocachi
140,3,7,0,140,0,10,0,casa_sopocachi
135,8,7,0,134,0,15,1,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
119,10,21,0,118,0,31,1,casa_sopocachi
133,12,5,0,132,0,17,1,casa_sopocachi
96,44,10,0,96,6,48,0,casa_sopocachi
119,29,2,0,119,7,24,0,casa_sopocachi
136,12,2,0,133,0,14,3,casa_sopocachi
143,3,4,0,142,0,7,1,casa_sopocachi
127,17,6,0,125,3,20,2,casa_sopocachi
134,13,3,0,132,1,15,2,casa_sopocachi
115,7,28,0,113,0,35,2,casa_sopocachi
139,4,7,0,139,1,10,0,casa_sopocachi
128,18,4,0,127,3,19,1,casa_sopocachi
131,13,6,0,131,2,17,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
119,8,23,0,118,0,31,1,casa_sopocachi
138,10,2,0,137,0,12,1,casa_sopocachi
141,3,6,0,141,1,8,0,casa_sopocachi
122,16,12,0,122,2,26,0,casa_sopocachi
117,8,25,0,115,0,33,2,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
118,21,11,0,116,7,25,2,casa_sopocachi
138,10,2,0,137,0,12,1,casa_sopocachi
136,5,8,1,135,0,13,2,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
140,6,4,0,140,0,10,0,casa_sopocachi
140,5,5,0,139,0,10,1,casa_sopocachi
107,16,27,0,100,1,42,7,casa_sopocachi
135,13,2,0,134,0,15,1,casa_sopocachi
137,13,0,0,136,0,13,1,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
135,10,5,0,135,2,13,0,casa_sopocachi
142,4,4,0,142,1,7,0,casa_sopocachi
110,13,27,0,110,3,37,0,casa_sopocachi
95,6,49,0,95,2,53,0,casa_sopocachi
138,9,3,0,138,2,10,0,casa_sopocachi
129,11,10,0,129,0,21,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
124,19,7,0,123,3,23,1,casa_sopocachi
88,39,23,0,88,3,59,0,casa_sopocachi
141,3,6,0,140,0,9,1,casa_sopocachi
113,10,27,0,113,4,33,0,casa_sopocachi
141,3,6,0,140,0,9,1,casa_sopocachi
131,19,0,0,129,0,19,2,casa_sopocachi
127,18,5,0,126,0,23,1,casa_sopocachi
143,3,4,0,143,1,6,0,casa_sopocachi
135,11,4,0,135,0,15,0,casa_sopocachi
63,32,55,0,58,2,85,5,casa_sopocachi
104,7,39,0,103,1,45,1,casa_sopocachi
117,23,10,0,117,2,31,0,casa_sopocachi
135,14,1,0,135,2,13,0,casa_sopocachi
141,4,5,0,140,0,9,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
141,4,5,0,140,0,9,1,casa_sopocachi
135,14,1,0,135,0,15,0,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
138,9,3,0,137,0,12,1,casa_sopocachi
139,5,6,0,138,0,11,1,casa_sopocachi
133,11,6,0,131,0,17,2,casa_sopocachi
121,4,25,0,120,0,29,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
140,3,7,0,139,1,9,1,casa_sopocachi
119,23,8,0,114,2,29,5,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
69,7,74,0,68,0,81,1,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
140,3,7,0,139,0,10,1,casa_sopocachi
135,14,1,0,135,4,11,0,casa_sopocachi
51,67,32,0,50,8,91,1,casa_sopocachi
138,6,6,0,138,0,12,0,casa_sopocachi
141,4,5,0,141,1,8,0,casa_sopocachi
99,8,43,0,95,0,51,4,casa_sopocachi
139,4,7,0,139,1,10,0,casa_sopocachi
144,2,4,0,144,0,6,0,casa_sopocachi
141,3,6,0,141,1,8,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
137,10,3,0,135,0,13,2,casa_sopocachi
139,4,7,0,139,2,9,0,casa_sopocachi
140,10,0,0,140,3,7,0,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
140,7,3,0,139,0,10,1,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
139,11,0,0,139,1,10,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
85,39,26,0,79,11,54,6,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
130,15,5,0,129,0,20,1,casa_sopocachi
141,5,4,0,141,0,9,0,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
138,11,1,0,138,0,12,0,casa_sopocachi
136,12,2,0,136,4,10,0,casa_sopocachi
138,9,3,0,138,0,12,0,casa_sopocachi
138,11,1,0,137,2,10,1,casa_sopocachi
130,15,5,0,130,0,20,0,casa_sopocachi
134,12,4,0,134,1,15,0,casa_sopocachi
122,9,19,0,122,0,28,0,casa_sopocachi
135,11,4,0,133,0,15,2,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
34,30,86,0,32,5,111,2,casa_sopocachi
87,15,48,0,87,0,63,0,casa_sopocachi
89,14,47,0,89,1,60,0,casa_sopocachi
119,12,19,0,118,1,30,1,casa_sopocachi
119,5,26,0,118,0,31,1,casa_sopocachi
135,6,9,0,132,0,15,3,casa_sopocachi
133,11,6,0,130,0,17,3,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
141,4,5,0,141,1,8,0,casa_sopocachi
144,2,4,0,144,0,6,0,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
120,12,18,0,120,2,28,0,casa_sopocachi
120,22,8,0,119,0,30,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
96,33,21,0,96,4,50,0,casa_sopocachi
80,27,43,0,80,0,70,0,casa_sopocachi
136,12,2,0,136,4,10,0,casa_sopocachi
137,12,1,0,137,0,13,0,casa_sopocachi
134,12,4,0,134,0,16,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
129,16,5,0,127,0,21,2,casa_sopocachi
142,2,6,0,141,0,8,1,casa_sopocachi
139,3,8,0,136,0,11,3,casa_sopocachi
140,3,7,0,140,0,10,0,casa_sopocachi
117,9,24,0,117,0,33,0,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
